productId,Title,userId,Helpfulness,Score,Time,Text,Cat1,Cat2,Cat3
B000256EKS,"""Marineland Penguin 200B/350B/170B/330B Rite-Size C Filter Cartridge 6 pk """,AW6FQE5QRF2LM,0/0,5,1350950400,"i use these in my penguin 350 on a 55 gallon community tank. normally, i will rinse them once after 3 weeks, and then replace after another 3 weeks. since there are 2 filters in the 350, i stagger their replacement at least 2 weeks apart to avoid shocking the tank. i have had this setup running for almost a year with absolutely no issues.buying a 1- or 3-pack of these filters gets pricey over a period of time. buying them in bulk is much cheaper, and ensures you will likely have more on hand in case of an emergency, when changing both filters is required.i purchased the 6-pack from amazon at $12.09 with free prime shipping, which comes to about $2 per. at petco.com, the same 6-pack costs $18.99, or $3 per. even the 12-pack at petco runs $34.96, which is just under $3 each. at this rate, you get one for free every time you buy two via amazon vs petco. also, the 6-pack on amazon sold for as low as $9 in july, which is only $1.50 per! you just can't beat that.sorry, this review became more about the cost than the product. but, after all, cost is one of the big reasons we're here buying things at all. right?",pet supplies,fish aquatic pets,pumps filters
B000256EKS,"""Marineland Penguin 200B/350B/170B/330B Rite-Size C Filter Cartridge 6 pk """,A3PXDE055W880X,0/0,5,1358640000,We've had our 55 gallon tank for over 15 years. Utilizing these filters in the back filter we only clean the tank twice a year. We change filter media every couple months. Our prior 20-30 gallon tank using only air-stones was always filthy after one month. I don't know how much the difference is attributable to the filter but we are satisfied with it.,pet supplies,fish aquatic pets,pumps filters
B000KS52D2,"""The Claw"" Electronic Candy Grabber Machine Arcade Game",A2WK3E30TWM8IK,0/0,4,1355011200,"Got this as a joke/for fun for my boyfriend. He loves it and we have had almost no issues with the claw not working properly. The chain got stuck once and we couldn't get it to pull up for a minute, but we tilted it around a little to get it unstuck and that seemed to work fine. All in all I feel that I got a good deal.",toys games,electronics for kids,systems accessories
B000KS52D2,"""The Claw"" Electronic Candy Grabber Machine Arcade Game",A168O2YKPE9BE8,0/0,5,1357171200,"I thought having this at home would lessen the need for change at the doors of stores, but not so. This is just a way to practice for the bigger ones. That's O.K. because I too, enjoy the claw. The toy is a lot of fun for all.",toys games,electronics for kids,systems accessories
B000KS52D2,"""The Claw"" Electronic Candy Grabber Machine Arcade Game",AHBO9GVCVCJYU,0/0,3,1358640000,"My daughter has been dying for one of these. She really enjoyed playing it and it wasn't too hard yet difficult enough to be a challenge. After only a couple days of playing it stopped working, though. We bought new batteries and she hasn't even tried replacing them yet to see if that was the problem (even though we put new batteries in and she didn't play it THAT much). She has already lost interest in it.",toys games,electronics for kids,systems accessories
B000L3LW0I,"""Wally"" the Flying Pig",A1KGG0E7JQW5XW,0/0,3,1357776000,"The product is pretty much what it says it is. The band seems a little stiff for a young child, but at the same time probably makes it more durable.",toys games,stuffed animals plush,animals figures
B000IFB5P6,"[Itm] Clear Safety Glasses, Large [Acsry To]",A3QUEAELP2NM6H,0/0,5,1357948800,the glasses are just what i needed i had no problem with the ordering process at all. I will be doing business here again soon.,beauty,skin care,face
B000AUVE5U,"[Vintage] Charley Chimp, Cymbal-Playing Monkey",A2VFYA1IA54O8M,0/1,1,1357776000,"The sound was terrible, the eyes don't blink, and the mouth doesn't move like I thought it would. Horrible. Don't know if it is broken or what. I gave it as a gift to my husband who had surgery. He gave me a lecture on wasting money which I would have resented if it wan't so true.",toys games,stuffed animals plush,animals figures
B00061MPFG,1 Gallon Bottle Dispensing Pump Standard,A1US42AO86TP3Z,01-Mar,1,1349395200,Purchased for my sister. She states that the product leaks. Not very good . Perhaps for a gallon sized bottle not a mouth wash bottle.,pet supplies,cats,grooming
B0006O90Z6,1/16 31 Ford Van,A2LKCLM8ZX267X,0/0,5,1361836800,"Recently bought this kit and began construction.The parts are well made but there was a tiny bit of flashing on one part - no problem though.The Engine is extremely detailed ,even has a dipstick.The rest of the kit so far is quite easy to build ,the engine being the most detailed part.All doors open and the chassis can be made to roll freely.The only thing i did not like about it's design was that the kit option on the fender where the spare tire sits ,you get two left front fenders and when you begin to fit it it is a little tricky and seems odd.you can go online and get the full assembly instructions from the minicraft website - there you can see the kit trees and how the kit will assemble , so that will give you a good idea about the product beforehand.Also , after i bought this kit i went online and found several others and some were priced as high as $150.00 ,so being a discontinued kit from the 1990's may make it a bit rare , not sure. I would definitely recommend this kit for a moderately experienced builder , but not for someone just beginning model crafting , as I think the smaller and more delicate pieces would just cause frustration.",toys games,hobbies,model building kits tools
B000NJN25S,1/24 RC 3-Ch Remote Control M1A2 Abrams Tank,A1G4XMOEBFOL3Q,0/0,2,1356652800,"I bought this primarily for indoor play. Turns out it's not really suitable for it - at least not in my house. The instructions warn against using it on carpet! We still checked it out, to try and decide if we wanted a similar toy that worked on carpet, or one of the alternatives. For that little bit, it worked ok. No problems with tread loss that others reported. The BB gun loaded and fired as per the instructions. There were some reception problems, but it's not clear if that was range or interference from a nearby computer. If it was a radio range, it was maybe 15 feet, which would be a serious issue outdoors.The things that set this one apart from the others we had considered were all disappointments. The choice came down to one of the BB-firing tanks with an canon that could be elevated, or an IR canon with a life counter of some kind suitable for simulating battles. The BB gun fires at sufficient velocity that tracking shots inside is nearly impossible, so we're not going to look for another of those. The gun elevation isn't really controllable. There's one button that elevates it to the top of the (rather limited) range, then lowers it to the bottom, then back up, and so on, instead of one button for up and one for down. Sort of pointless, and not at all fun. The demo mode is mildly amusing, but hitting the button by accident while trying to go forward happened sufficiently often that leaving off the demo feature would have been an improvement.Driving the tank itself was also a bit of a loss. While the motors driving the treads have two speeds in both directions, you can't really use all the possibilities. Turning is limited to one tread going while the other is still (basically pivoting around the still tread) or having them go in opposite directions (spinning in place). While having two rates of spin seems a little pointless, having the ability to shift one tread into high gear while the other stays at normal speed - resulting in a turn while moving forward - would have been a major improvement in the toy.The programming aspect looked like it might be fun, but that was a bust as well. It doesn't move while recording a program, so you can't tell what it's doing. When you record a move, pressing a button triggers the selected action for a preset amount of time, which you can't change by, for instance, holding down the button. The turns come out at almost 180 degrees. You can't even replicate the demo mode programs with it.I seriously considered giving this tank one star, but it wasn't broken or completely useless out of the box - just where I wanted to use it. So it gets two stars, with a warning about not using it in most houses.",toys games,hobbies,radio control
B000FGIUGU,1/55 D/C AH-64 Apache Helicopter,A2PJX677ZY51H,0/2,3,1354838400,This item was purchased as a gift and was not what I expected. I returned it for the item I wanted.,toys games,hobbies,scaled model vehicles
